x	y	showSelected.variable	showSelected.value	showSelected2	showSelected3
0	0.495636998254799	learned.thresh	1.64411865184755	other	learned
0	0.453752181500873	learned.thresh	1.78233382004739	other	learned
0	0.413612565445026	learned.thresh	1.8829424696659	other	learned
0	0.3717277486911	learned.thresh	1.99700619141638	other	learned
0	0.331588132635253	learned.thresh	2.11786206220658	other	learned
0	0.289703315881326	learned.thresh	2.25154049315582	other	learned
0	0.2478184991274	learned.thresh	2.39576698317929	other	learned
0	0.207678883071553	learned.thresh	2.53747208900789	other	learned
0	0.165794066317627	learned.thresh	2.69422261602522	other	learned
0	0.12565445026178	learned.thresh	2.84165163988694	other	learned
0	0.0837696335078534	learned.thresh	3.15592092433379	other	learned
0	0.043630017452007	learned.thresh	3.49577695359199	other	learned
0	0.00174520069808028	learned.thresh	4.20361996538578	other	learned
